Port Key,Address Key,Port Name,Port Type,Port Size,UN/LOCODE,Phone,Fax,800 Number,Email,Web Site
139,3139,Port Alma,"Pier, Jetty or Wharf",Very Small,,61 7 4934 6931,61 7 4934 6928,,,www.cqpa.com.au
140,3140,Port Bonython,"Pier, Jetty or Wharf",Small,,61 8 8116 5000,61 8 8116 5050,,,www.santos.com
141,3141,Port Giles,"Pier, Jetty or Wharf",Very Small,,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au
142,3142,Port Hedland,Seaport,Small,AUPHE,61 8 9173 0000,61 8 9173 0060,,phpa@phpa.com.au,www.phpa.com.au
143,3143,Port Huon,,,,,,,,
144,3144,Port Kembla,Seaport,Medium,AUPKL,61 2 4275 0100,61 2 4274 0643,,enquiries@kemblaport.com.au,www.kemblaport.com.au
145,3145,Portland,Harbor,Small,USPWM,61 3 5525 0900,61 3 5521 7488,,info@portofportland.com.au,www.portofportland.com.au
146,3146,Port Latta,,,,,,,,
147,3147,Port Lincoln,"Pier, Jetty or Wharf",Very Small,,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au
148,3148,Port Phillip Bay,,,,,,,,
149,3149,Port Pirie,Seaport,Small,,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au
150,3150,Port Stanvac,,,,,,,,
151,3151,Port Walcott,"Pier, Jetty or Wharf",Small,,61 8 9187 1329,61 8 9187 1601,,pilots@kisser.net.au,
152,3152,Saladin Marine Terminal,,,,,,,,
153,3153,Spring Bay,,,,,,,,
154,3154,Stag Marine Terminal,,,,,,,,
155,3155,Stanley,"Pier, Jetty or Wharf",Very Small,,1 300 366 742,03 6421 4988,,secretary@tasports.com.au,www.tasports.com.au
156,3156,Strahan,Harbor,Small,,61 3 6421 4911,61 3 6421 4988,,secretary@tasports.com.au,www.tasports.com.au
157,3157,Sydney,Deepwater Seaport,Large,AUSYD,61 2 9296 4999,61 2 9296 4742,,,www.sydneyports.com.au
158,3158,Thevenard,"Pier, Jetty or Wharf",Very Small,,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au
159,3159,Thursday Island,"Pier, Jetty or Wharf",Small,,,,,info@pcq.com.au,www.pcq.com.au
160,3160,Torres Strait,,,,,,,,
161,3161,Townsville,Harbor,Small,AUTSV,61 7 4781 1500,617 4781 1525,,info@townsville-port.com.au,www.townsville-port.com.au
162,3162,Useless Loop,,,,,,,,
163,3163,Varanus Island Terminal,,,,,,,,
164,3164,Wallaroo,"Pier, Jetty or Wharf",Small,,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au
165,3165,Wandoo Marine Terminal,,,,,,,,
166,3166,Weipa,"Pier, Jetty or Wharf",Small,AUWEI,,,,info@pcq.com.au,www.pcq.com.au
167,3167,Whyalla,,,,,,,,
168,3168,Wyndham,,,,,,,,
169,3169,Yamba,Harbor,Small,,61 2 6646 2002,61 2 6646 1596,,pilot@yamba.nsw.gov.au,www.yamba.nsw.gov.au
170,3170,Vienna,,,,,,,,
171,3171,Wels,,,,,,,,
172,3172,Baku,Seaport,Large,AZBAK,994 12 930268,994 12 933672,,office@bakuseaport.net,bakuseaport.az
173,3173,Freeport,Seaport,Medium,USFPO,242 350-8000,242 351-8044,,,www.freeportcontainerport.com
174,3174,Inagua Islands,"Pier, Jetty or Wharf",Very Small,,242 322 8832,242 322 5545,,portaja@batelnet.bs,
175,3175,Nassau,Seaport,Small,BSNAS,242-322-8832,242-322-5545,,portaja@batelnet.bs,
176,3176,Ocean Cay,"Pier, Jetty or Wharf",Very Small,,,,,,
177,3177,South Riding Point,"Pier, Jetty or Wharf",Very Small,,242 353 4471,242 353 4573,,srphl@netscape.net,
178,3178,Bahrain,,,BHBAH,,,,,
179,3179,Mina Sulman,,,,,,,,
180,3180,Sitra,"Pier, Jetty or Wharf",Small,,973 1775 7744,973 1775 7747,,,www.bahrainports.gov.bh
181,3181,Chalna,,,BDCHL,,,,,
182,3182,Chittagong,Seaport,Medium,BDCGP,880-31- 2522200,880-31- 2510889,,secretary@cpa.gov.bd,www.cpa.gov.bd
183,3183,Dhaka,,,BDDAC,,,,,
184,3184,Mongla,River Port,Small,BDMGL,04662-75200,04662-75224,,mpa@bttb.net.bd,www.monglaport.com.bd
185,3185,Bridgetown,Harbor,Small,BBBGI,(246) 430-4700,(246) 429-5348,,administrator@barbadosport.com,www.barbadosport.com
186,3186,Brest,,,FRBES,,,,,
187,3187,Antwerpen,Seaport,Very Large,BEANR,+32-3-205 20 11,+32-3-205 20 28,,info@haven.antwerpen.be,www.portofantwerp.be
188,3188,Brussels,River Port,Large,,32 2 420.67.00,32 2 420.69.74,,ortdebruxelles@port.irisnet.be,www.portdebruxelles.irisnet.be
189,3189,Ghent,River Port,Large,,+32/9 251 05 50,+32/9 251 54 06,,info@havengent.be,www.havengent.be
190,3190,Hemiksem,,,,,,,,
191,3191,Liege,River Port,Medium,,04/232.97.97,04/223.11.09,,portdeliege@skynet.be,www.liege.port-autonome.be
192,3192,Londerzeel,,,,,,,,
193,3193,Nieuwpoort,Seaport,Medium,,32 58 233 000,32 58 231 575,,,wwwe.loodswezen.nl
194,3194,Ostend,Seaport,Medium,,+32 (0)59 34.07.11,+32 (0)59 34.07.10,,info@portofoostende.be,www.portofoostende.be
195,3195,Zeebgrugge,Seaport,Medium,,32 50 54 32 11,32 50 54 32 24,,mbz@zeebruggeport.be,www.zeebruggeport.be
196,3196,Belize,,,,,,,,
197,3197,Belize City,Harbor,Small,BZBZE,501 227 2480,501 227 2500,,portbz@btl.net,
198,3198,Cotonou,Seaport,Medium,BJCOO,229 315280,229 312891,,pac@leland.bj,www.otal.com/benin
199,3199,Seme Terminal,,,,,,,,
200,3200,Freeport,Harbor,Small,USFPO,441 295 6575,441 295 5523,,,
201,3201,Hamilton,Seaport,Medium,NZHLZ,441 295 6575,441 295 3718,,,
202,3202,St George's,Harbor,Small,,441 295 6575,441 295 3718,,,
203,3203,San Pedro,,,ARSPD,,,,,
204,3204,Alumar,"Pier, Jetty or Wharf",Small,,55 98 218 1392,55 98 218 1461,,,
205,3205,Angra dos Reis,Harbor,Small,,55 24 2365 0273,55 24 2365 0273,,,www.portosrio.gov.br
206,3206,Aracaju,"Pier, Jetty or Wharf",Small,,55 79 224 6148,55 79 224 7591,,,www.ibritto.com.br
207,3207,Aracati,,,,,,,,
208,3208,Aratu,Seaport,Medium,BRARB,71 602-5711,71 602-5705,,portoaratu@codeba.com.br,www.codeba.com.br
209,3209,Areia Branca,,,BRARE,,,,,
210,3210,Barao De Teffe,,,,,,,,
211,3211,Belem,"Pier, Jetty or Wharf",Medium,BRBEL,91 3216-2129,91 3216-2130,,evandro@cdp.com.br,www.cdp.com.br
212,3212,Cabedello,,,,,,,,
213,3213,Carmopolis,,,,,,,,
214,3214,Corumba,River Port,Small,,55 67 2312913,55 67 231 2661,,,www.ahipar.gov.br
215,3215,Dow Quimica Terminal,,,,,,,,
216,3216,Forno,"Pier, Jetty or Wharf",Small,BRFNO,24 622-1185,24 622-1185,,portodoforno@mar.com.br,
217,3217,Fortaleza,,,BRFOR,,,,,
218,3218,Gebig,"Pier, Jetty or Wharf",Small,,55 24 2361 2255,55 24 2361 2255,,,
219,3219,Guamare Oil Terminal,,,,,,,,
220,3220,Ilheus,Harbor,Small,BRIOS,73 231-1200,73 231-3318,,portoilheus@codeba.com.br,www.codeba.com.br
221,3221,Imbituba,Harbor,Small,BRIBB,48 3255-0080,48 255 0701,,,www.cdiport.com.br
222,3222,Itajai,Seaport,Medium,BRITJ,55 47 341 8000,55 47 341 8075,,atendimento@portoitajai.com.br,www.portoitajai.com.br
223,3223,Itaqui,Seaport,Medium,BRITQ,98 3216-6000,98 3216-6060,,,
224,3224,Joao Pessoa,,,,,,,,
225,3225,Laguna,,,,,,,,
226,3226,Macapa,,,,,,,,
227,3227,Maceio,Seaport,Small,BRMCZ,55 82 231 1999,55 82 231 2975,,domiciojose@portodemaceio.com.br,www.portodemaceio.com.br
228,3228,Manaus,River Port,Medium,BRMAO,55 92 2123 4350,55 92 2123 4360,,alecom@portodemanaus.com.br,www.portodemanaus.com.br
229,3229,Munguba,River Port,Small,,55 91 736 6132,55 91 736 1140,,,
230,3230,Natal,Harbor,Small,BRNAT,84 4005 5311,,,administrativo@codern.com.br,www.codern.com.br
231,3231,Navegantes,,,BRNVT,,,,,
232,3232,Niteroi,Seaport,Large,,55 21 2718 3182,55 21 2620 7563,,,www.portosrio.gov.br
233,3233,Obidos,River Port,Small,,91 547-1253,,,,www.cdp.com.br
234,3234,Paranagua,Seaport,Medium,BRPNG,55 14 1420 1100,55 14 1422 5324,,portos@pr.gov.br,www.portosdoparana.pr.gov.br
235,3235,Pecem,"Pier, Jetty or Wharf",Small,BRPEC,85 3315-1977,85 3315-1974,,cearaportos@cearaportos.ce.gov.br,www.cearaportos.ce.gov.br
236,3236,Pelotas,Ferry,Small,,55 53 3222 1125,55 53 3222 1815,,,
237,3237,Ponta Ubu,"Pier, Jetty or Wharf",Small,,55 27 3361 9000,55 27 3361 9474,,portodeubu@samarco.com.br,www.portodeubu.com.br
238,3238,Porto Abc Norte,,,,,,,,
239,3239,Porto Alegre,Seaport,Medium,BRPOA,55 51 3211 5022,55 51 3211 5033,,,
240,3240,Portocel,Seaport,Small,BRPCL,55 27 3270 4432,55 27 3270 4433,,mlm@aracruz.com.br,
241,3241,Porto-Ilha,,,,,,,,
242,3242,Praia Mole,Seaport,Medium,,55 27 3328 0055,55 27 3228 2330,,,
243,3243,Recife,,,BRREC,,,,,
244,3244,Regencia,,,,,,,,
245,3245,Rio De Jan Eiro,Seaport,Medium,,2219-9542,,,suprio@portosrio.gov.br,www.portosrio.gov.br
246,3246,Rio Grande,Seaport,Medium,BRRIG,53 3231-1366,53 3231-1857,,,www.portoriogrande.com.br
247,3247,Salvador,Harbor,Medium,BRSSA,71 320-1299,71 320-1268,,portosalvador@codeba.com.br,www.codeba.com.br
248,3248,Santa Clara,,,,,,,,
249,3249,Santana,"Pier, Jetty or Wharf",Small,,55 96 281 1092,,,,
250,3250,Santarem,"Pier, Jetty or Wharf",Very Small,BRSTM,91 523-3693,91 523-4693,,aposan@cdp.com.br,www.cdp.com.br
251,3251,Santos,Seaport,Medium,BRSSZ,(13) 3233-6565,(13) 3233-3080,,,www.portodesantos.com
252,3252,Sao Francisco,Seaport,Small,,55 47 471 1200,55 47 471 1211,,licitacao@apsfs.sc.gov.br,www.apsfs.sc.gov.br
253,3253,Sao Sebastiao,"Pier, Jetty or Wharf",Small,BRSSO,12 3892-1899,12 3892-1899,,,www.dersa.sp.gov.br
254,3254,Sepetiba,Seaport,Very Small,,55 21 2688 1424,55 21 2688 1287,,,www.portosrio.gov.br
255,3255,Suape,,,BRSUA,,,,,
256,3256,Tramandai,Off-Shore Terminal,Very Small,,55 51 3684 9530,55 51 3684 9528,,jrfilho@petrobras.com.br,
257,3257,Trombetas,River Port,Small,,55 93 549 7029,55 93 549 1482,,,
258,3258,Tubarao,Seaport,Medium,,,,,,www.vale.com
259,3259,Usiba,,,,,,,,
260,3260,Vila do Conde,"Pier, Jetty or Wharf",Small,BRVLC,91-3182-9000,,,gomes@cdp.com.br,www.cdp.com.br
261,3261,Vitoria,Seaport,Medium,BRVIX,55 27 3132 7314,55 27 3132 7313,,falaporto@codesa.gov.br,www.portodevitoria.com.br
262,3262,Charlotte Amalie,,,,,,,,
263,3263,Road Harbour,,,,,,,,
264,3264,Tortola,,,VGTOV,,,,,
265,3265,Kuala Belait,,,BNKUB,,,,,
266,3266,Lumut,,,,,,,,
267,3267,Muara,"Pier, Jetty or Wharf",Small,BNMUA,6732-770222,6732-770283,,,www.ports.gov.bn
268,3268,Muara Harbour,,,,,,,,
269,3269,Seria,,,,,,,,
270,3270,Tanjong Salirontanjo,,,,,,,,
271,3271,Balchik,,,,,,,,
272,3272,Burgas,,,BGBOJ,,,,,
273,3273,Kavarna,,,,,,,,
274,3274,Nessebar,,,,,,,,
275,3275,Sofia,,,,,,,,
276,3276,Varna,Seaport,Medium,BGVAR,67 77518 PORT BG,359 (052) 632 953,,headoffice@port-varna.bg,www.port-varna.bg
277,3277,Kompong Som,,,,,,,,
278,3278,Phnom Penh,River Port,Medium,KHPNH,855-23 427 802,,,ppapmpwt@bigpond.com.kh,www.ppap.com.kh
279,3279,Sihanoukville,,,,,,,,
280,3280,Douala,Seaport,Medium,CMDLA,237 420133,237 426797,,,www.otal.com/cameroon/index.htm
281,3281,Ebome Marine Terminal,,,,,,,,
282,3282,Garoua,,,,,,,,
283,3283,Kole Terminal,,,,,,,,
284,3284,Kribi,,,,,,,,
285,3285,Limboh Terminal,,,,,,,,
286,3286,Moudi Terminal,,,,,,,,
287,3287,Tiko,,,,,,,,
288,3288,Victoria,,,,,,,,
289,3289,Aklavik,,,,,,,,
290,3290,Amherst,Harbor,Very Small,,,,,,
291,3291,Amherstburg,Harbor,Small,,,,,,
292,3292,Annapolis Royal,,,,,,,,
293,3293,Argentia,Harbor,Small,,709-227-5502,709-227-5592,,argentiainfo@argentia.ca,www.argentia.ca/port.html
294,3294,Arichat,Harbor,Small,,,,,,
295,3295,Baddeck,Harbor,Small,,902 295 3666,902 295 1729,,,
296,3296,Baie Comeau,Harbor,Small,,,,,,
297,3297,Baie Verte,Harbor,Small,,,,,,
298,3298,Bathurst,Seaport,Small,CABAT,506 545 9222,506 545 9224,,,
299,3299,Bay Roberts,Harbor,Small,,,,,,
300,3300,Bayside,,,,,,,,
301,3301,Beaver Harbour,Harbor,Small,,,,,,
302,3302,Becancour,Seaport,Medium,CABEC,819 294-6656,819 294-9020,,spipb@spipb.com,www.spipb.com
303,3303,Bella Coola,Harbor,Very Small,,250 799 5633,,,,
304,3304,Belledune,Harbor,Small,,506 522-1200,506 522-0803,,info@portofbelledune.ca,www.portofbelledune.ca
305,3305,Blanc-Sablon,"Pier, Jetty or Wharf",Very Small,,,,,,
306,3306,Botwood,Harbor,Very Small,,,,,,
307,3307,Brandon,,,,,,,,
308,3308,Bridgewater,Harbor,Small,,,,,,
309,3309,Brooks,,,,,,,,
310,3310,Buctouche Harbour,,,,,,,,
311,3311,Burgeo,Harbor,Very Small,,,,,,
312,3312,Burin,,,,,,,,
313,3313,Calgary,,,CACAL,,,,,
314,3314,Cambridge Bay,,,,,,,,
315,3315,Campbell River,Seaport,Small,,,,,,
316,3316,Campbellton,"Pier, Jetty or Wharf",Small,,902 892 2491,,,,
317,3317,Canso,Harbor,Small,,902 366 2391,,,,
318,3318,Cap-aux-Meules,Harbor,Small,,,,,,
319,3319,Caraquet,Harbor,Small,,506 727 6186,506 727 2020,,vilbasca@nbnet.nb.ca,
320,3320,Carbonear,"Pier, Jetty or Wharf",Small,,709 596 1410,,,,
321,3321,Carleton,Harbor,Small,,,,,,
322,3322,Carmanville,"Pier, Jetty or Wharf",Small,,709-534-2300,,,hacarmanville@nf.aibn.com,
323,3323,Catalina,"Pier, Jetty or Wharf",Very Small,,709-469-2441,709 469 2946,,,
324,3324,Chandler,Harbor,Small,,,,,,
325,3325,Charlottetown,Harbor,Small,,902 566 7974,,,,
326,3326,Chatham,,,,,,,,
327,3327,Chemainus,Seaport,Medium,,(250) 246-2682,,,,
328,3328,Chicoutimi,Seaport,Small,,418 543 0263,,,,
329,3329,Churchill,"Pier, Jetty or Wharf",Small,,204-675-8823,204-675-2550,,,
330,3330,Clarenville,Harbor,Small,,,,,,
331,3331,Clarkson,"Pier, Jetty or Wharf",Small,,,,,,
332,3332,Cobourg,,,,,,,,
333,3333,Collingwood,Harbor,Small,CACOL,705 444-2500 x 3236,705 445-4755,,mkeast@collingwood.ca,www.collingwood.ca
334,3334,Come By Chance,Seaport,Small,,,,,,
335,3335,Comox,Harbor,Small,,,,,,
336,3336,Concord,Harbor,Small,,,,,,
337,3337,Corner Brook,Seaport,Small,CACBK,709-634-6600,709-634-6620,,info@cornerbrookportcorp.com,www.cornerbrookport.com
338,3338,Cornwall,Seaport,Small,CACWL,,,,,
339,3339,Country Harbour,Harbor,Small,,,,,,
340,3340,Cowichan Bay,Harbor,Small,CACCB,250 746 2500,250 746 5612,,,
341,3341,Crofton,Seaport,Small,CACRO,,,,,
342,3342,Dalhousie,Seaport,Medium,,506-684-3346,506-684-3388,,pdi@nb.aibn.com,www.portofdalhousie.com
343,3343,Dartmouth,,,,,,,,
